,0,1,2,3,4,5,6,7
81,.ge,ジョージア,,ジョージアの居住者には無制限。外国の会社に対しては、いかなるジョージアの法人を通してでも1法人につき1ドメイン。[17],No,No,Yes,
82,.gf,フランス領ギアナ,Guyane française,,,No,,
83,.gg,ガーンジー島,Guernsey / Guernesey,,,No,Yes,
84,.gh,ガーナ,,,,No,No,
85,.gi,ジブラルタル,,,,Yes,Yes,
86,.gl,グリーンランド,,かつては非公式にスペインのガリシア州で使用されていたが、2014年に.galが割り当てられたため、そちらに移行した。,,Yes,Yes,
87,.gm,ガンビア,,登録者の名前または商標名と一致するドメイン名しか取得できない。一般名詞は使用できない。,,No,Yes,
88,.gn,ギニア,,国内の連絡先が必要。,,Yes,No,
89,.gp,グアドループ,,現在でも、サン・マルタン島及びサン・バルテルミー島で使用されている。,,No,Yes,
90,.gq,赤道ギニア,Guinée équatoriale,無料ドメインサービスが提供されている。,,No,,
91,.gr,ギリシャ,,,Yes[cctld 13],Yes,Yes,
92,.gs,サウスジョージア・サウスサンドウィッチ諸島,,,,Yes,Yes,
93,.gt,グアテマラ,,,Yes,No,Yes,
94,.gu,グアム,,,,No,No,
95,.gw,ギニアビサウ,,,,No,Yes,
96,.gy,ガイアナ,,,,No,Yes,
97,.hk,香港,,中華人民共和国の特別行政区,Yes,No,Yes,
98,.hm,ハード島とマクドナルド諸島,,,,No,Yes,
99,.hn,ホンジュラス,,,,Yes,Yes,
100,.hr,クロアチア,Hrvatska,,,Yes,Yes,
101,.ht,ハイチ,,,Yes,No,Yes,
102,.hu,ハンガリー,,EUの市民、またはEUの領域で法律により確立した実体。,,Yes,Yes,
103,.id,インドネシア,,"インドネシアの企業(co.id)、団体(or.id)、学術機関(ac.id, sch.id)、市民(biz.id, my.id, web.id)に限る。セカンドレベルドメインの登録は2014年8月17日より開始された[18]。",Yes,Yes,Yes,
104,.ie,アイルランド,,2002年に、アイルランド島（北アイルランドを含む）との間で「確実に実在する」関係を持つ個人または企業に拡大された。[19][20]。,No,Yes,Yes,
105,.il,イスラエル,,,Yes,No,No,
106,.im,マン島,,,,No,Yes,
107,.in,インド,,"2005年4月にINRegistryに移管された（gov.in, nic.in, mil.in, ac.in, edu.in, res.inを除く）。",,Yes,Yes,
108,.io,イギリス領インド洋地域,,入出力のI/O（Input/Output）を表すとして、ドメインハックのためにウェブアプリケーションを始めとするコンピュータサイエンスの分野で非公式に使われている。,,Yes,Yes,
109,.iq,イラク,,,,部分的[21],Yes,
110,.ir,イラン,,,Yes,No,Yes,
111,.is,アイスランド,Ísland,,Yes,Yes,Yes,
112,.it,イタリア,,欧州連合の企業と個人に限る。,Yes[cctld 14],No,Yes,
113,.je,ジャージー島,,,,No,Yes,
114,.jm,ジャマイカ,,,,No,No,
115,.jo,ヨルダン,,,,No,Yes,
116,.jp,日本,,日本に住所を有する団体、組織、個人などに限る。,,Yes,Yes,
117,.ke,ケニア,,,,Yes,No,
118,.kg,キルギス,,,,Yes,Yes,
119,.kh,カンボジア,Khmer、旧称 Kâmpŭchea,,,No,No,
120,.ki,キリバス,,,,Yes,Yes,
121,.km,コモロ,Komori,,,No,Yes,
122,.kn,セントクリストファー・ネイビス,,,,No,Yes,
123,.kp,朝鮮民主主義人民共和国,,,,No,No,
124,.kr,韓国,,,Yes,Yes,Yes,
125,.krd,クルディスタン地域,KRG,クルディスタン地域に実体のある団体・企業に限る。,,Yes,Yes,
126,.kw,クウェート,,,,No,No,
127,.ky,ケイマン諸島,,ケイマン諸島の住民か、ケイマン諸島に登記のある企業に限る[22]。,,Yes,Yes,
128,.kz,カザフスタン,,,,No,Yes,
129,.la,ラオス,,非公式にロサンゼルス向けに販売されている[23]。,,Yes,Yes,
130,.lb,レバノン,,レバノンの企業に限る。,,Yes,No,
131,.lc,セントルシア,,,,Yes,Yes,
132,.li,リヒテンシュタイン,,ニューヨーク州ロングアイランドでも使用されている。,Yes,Yes,Yes,
133,.lk,スリランカ,Lankā,,,Yes,Yes,
134,.lr,リベリア,,,,部分的[21],No,
135,.ls,レソト,,,,No,No,
136,.lt,リトアニア,,,Yes,Yes,Yes,
137,.lu,ルクセンブルク,,,Yes,Yes,Yes,
138,.lv,ラトビア,,,Yes,Yes,Yes,
139,.ly,リビア,,,,No,Yes,
140,.ma,モロッコ,Maroc,cu.maで無料ドメインサービスが提供されている。,,部分的[21],Yes,
141,.mc,モナコ,,モナコで商標登録した企業に限る。,,No,Yes,
142,.md,モルドバ,,モルドバに住所のある個人・企業に限る。,,No,Yes,
143,.me,モンテネグロ,,,,Yes,Yes,
144,.mg,マダガスカル,,,,No,Yes,
145,.mh,マーシャル諸島,,,,No,,
146,.mk,マケドニア共和国,Makedonija,マケドニアの企業に限る。,,No,Yes,
147,.ml,マリ,,無料ドメインサービスが提供されている。,,No,Yes,
148,.mm,ミャンマー,,,,Yes,No,
149,.mn,モンゴル,,セカンドレベルドメイン「.gov.mn」「.org.mn」「.edu.mn」は特別用途用に予約されている。,,Yes,Yes,
150,.mo,マカオ,Macao,中華人民共和国の特別行政区。マカオにて、登録したいドメイン名と同名の商標を登録している企業に限る[24]。,,No,Yes,
151,.mp,北マリアナ諸島,Marianas Pacific,,,No,Yes,
152,.mq,マルティニーク,,,,No,No,
153,.mr,モーリタニア,,,,No,Yes,
154,.ms,モントセラト,,,,No,Yes,
155,.mt,マルタ,,,,No,No,
156,.mu,モーリシャス,,,,No,Yes,
157,.mv,モルディブ,,,,No,Yes,
158,.mw,マラウイ,,,,No,Yes,
159,.mx,メキシコ,,,,Yes,Yes,
160,.my,マレーシア,,マレーシアの個人・企業に限る。,Yes[cctld 15],Yes,Yes,
161,.mz,モザンビーク,,,,No,No,
162,.na,ナミビア,,,,Yes,Yes,
163,.nc,ニューカレドニア,,ニューカレドニアに登記のある企業と、ニューカレドニアに6か月以上住んでいる個人に限る。,,Yes,Yes,
164,.ne,ニジェール,,,,No,Yes,
165,.nf,ノーフォーク島,,,,Yes,Yes,
166,.ng,ナイジェリア,,,,No,Yes,
167,.ni,ニカラグア,,,,No,No,
168,.nl,オランダ,Nederlands,最初の国名コードTLDである[25]。,No,Yes,Yes,
